,Labels(1=normal and -1=defect)
0,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2461_Q12.bmp,1
1,./prototype2_data/Shifting/shifting_0_8601.bmp,-1
2,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2296_Q09.bmp,1
3,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1564_Q06.bmp,1
4,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2624_Q09.bmp,1
5,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2601_Q06.bmp,1
6,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2324_Q09.bmp,1
7,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1699_Q06.bmp,1
8,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2513_Q06.bmp,1
9,./prototype2_data/Shifting/shifting_0_9362.bmp,-1
10,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1814_Q09.bmp,1
11,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1674_Q09.bmp,1
12,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4063_Q03.bmp,1
13,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1619_Q03.bmp,1
14,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1521_Q09.bmp,1
15,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2992_Q06.bmp,1
16,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1438_Q12.bmp,1
17,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1875_Q12.bmp,1
18,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3699_Q06.bmp,1
19,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2521_Q06.bmp,1
20,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2602_Q06.bmp,1
21,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4386_Q06.bmp,1
22,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4153_Q12.bmp,1
23,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3617_Q09.bmp,1
24,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_075_Q03.bmp,1
25,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3502_Q06.bmp,1
26,./prototype2_data/Shifting/shifting_0_4324.bmp,-1
27,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1842_Q09.bmp,1
28,./prototype2_data/Shifting/shifting_0_923.bmp,-1
29,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3889_Q06.bmp,1
30,./prototype2_data/Shifting/shifting_0_9712.bmp,-1
31,./prototype2_data/Shifting/shifting_0_5182.bmp,-1
32,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3906_Q09.bmp,1
33,./prototype2_data/Shifting/shifting_0_9168.bmp,-1
34,./prototype2_data/Shifting/shifting_0_6156.bmp,-1
35,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3720_Q09.bmp,1
36,./prototype2_data/Shifting/shifting_0_9563.bmp,-1
