,ImagePath
0,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2461_Q12.bmp
1,./prototype2_data/Shifting/shifting_0_8601.bmp
2,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2296_Q09.bmp
3,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1564_Q06.bmp
4,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2624_Q09.bmp
5,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2601_Q06.bmp
6,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2324_Q09.bmp
7,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1699_Q06.bmp
8,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2513_Q06.bmp
9,./prototype2_data/Shifting/shifting_0_9362.bmp
10,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1814_Q09.bmp
11,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1674_Q09.bmp
12,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4063_Q03.bmp
13,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1619_Q03.bmp
14,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1521_Q09.bmp
15,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2992_Q06.bmp
16,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1438_Q12.bmp
17,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1875_Q12.bmp
18,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3699_Q06.bmp
19,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2521_Q06.bmp
20,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2602_Q06.bmp
21,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4386_Q06.bmp
22,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_4153_Q12.bmp
23,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3617_Q09.bmp
24,./prototype2_data/Normal_Type-1/Normal_Foreign_Part_075_Q03.bmp
25,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3502_Q06.bmp
26,./prototype2_data/Shifting/shifting_0_4324.bmp
27,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1842_Q09.bmp
28,./prototype2_data/Shifting/shifting_0_923.bmp
29,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3889_Q06.bmp
30,./prototype2_data/Shifting/shifting_0_9712.bmp
31,./prototype2_data/Shifting/shifting_0_5182.bmp
32,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3906_Q09.bmp
33,./prototype2_data/Shifting/shifting_0_9168.bmp
34,./prototype2_data/Shifting/shifting_0_6156.bmp
35,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_3720_Q09.bmp
36,./prototype2_data/Shifting/shifting_0_9563.bmp
37,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_1907_Q06.bmp
38,./prototype2_data/Normal_Type-1/Normal_Solder_Insufficient_2628_Q09.bmp
39,./prototype2_data/Shifting/shifting_0_8249.bmp
